Name,Website Link,Screenshot,Body,Main Type,Typess,Room,Topics,Attachments,Topics copy,typee,Select,Added By
Creative Bloq,https://www.creativebloq.com/,2j5g50kynw.png (https://dl.airtable.com/.attachments/05a00080a465664e2b8dfaa618ea9752/c07a9063/2j5g50kynw.png),,Tool,Resource,Design Resources,Design Inspiration,,,,,
Beautiful Pixels,www.beautifulpixels.com,Error.png (https://dl.airtable.com/.attachments/7be14c85e116ee27336c798a5d45ce1e/28cb612e/Error.png),"Beautiful Pixels is a place where we can collectively admire the works of some of the greatest user interface designs of our time, as no other art is as scientific, restrictively creative, and most of all, utilitarian.",Tool,Resource,Design Resources,,,,,,
UI Patterns,http://uipatterns.io/,xj40dog4kw.png (https://dl.airtable.com/.attachments/f20c7bf6341073567c12186b2e3cc64b/8e6cad4d/xj40dog4kw.png),,Tool,Resource,Design Resources,,,,,,
Awwwards,awwwards.com,,,Tool,Resource,Design Resources,Design Inspiration,,,,,
Dribble,dribble.com,,,Tool,Resource,Design Resources,Design Inspiration,,,,,
UpLabs,uplabs.com,,,Tool,Resource,Design Resources,Design Inspiration,,,,,
A List Apart,https://alistapart.com/,,"A List Apart explores the design, development, and meaning of web content, with a special focus on web standards and best practices.",Tool,Resource,Design Resources,"UX Design Blogs,E-Waste",,,Blog,,
Subborn.fun,https://stubborn.fun/,,"create a unique story for a website, application, or presentation",Tool,Resource,Design Resources,Icons and Illustrations,,,,,
Canva 3D,?,,Browse millions of high quality 3d illustrations,Tool,Resource,Design Resources,Icons and Illustrations,,,,,
Shape.so,www.shape.so,,"27,000  fully customizable icons & illustrations.",Tool,Resource,Design Resources,Icons and Illustrations,,,,,
Vanghogh,www.thevangogh.in,,Google Search for color palettes.,Tool,Resource,Design Resources,Colors,,,,,
Checklist.Design,www.checklist.design,,A checklist for anything design-related.,Tool,Resource,Design Resources,Design Tool,,,,,
SVG Artista,svgartista.net,,A tool that lets you create a loading animation using your logo in about 2 minutes.,Tool,Resource,Design Resources,"Animations,Logo",,,,,
Really Good Emails,www.reallygoodemails.com,,Email marketing email list design tool.,Tool,Resource,Design Resources,Email List,,Marketing,,,
Cleanmock,www.cleanmock.com,,Share screenshots in style with a minimalistic mockup generator.,Tool,Resource,Design Resources,"Prototyping,Screenshots",,,,,
Unscreen.com,www.unscren.com,,remove the background from any video.,Tool,Resource,Design Resources,Video,,,,,
Color Slurp,www.colorslurp.com,,find out the color of any pixel on the screen.,Tool,Resource,Design Resources,Colors,,,,,
Get Stations,www.getstations.com,,All your apps and sites in one space.,Tool,Resource,Design Resources,productivity,,,,,
Khroma,www.kroma.co,,"Khroma uses AI to learn whicih colors you like and creates limitless palettes for you to discover, search, and save.",Tool,Resource,Design Resources,Colors,,,,,
Lets Enhance,vletsenhance.io/v2/boost,,"Image enhancement powered by AI. Improve colors, remove compression, and upscale your image up to 16x.",Tool,Resource,Design Resources,Colors,,,,,
Fronty,www.fronty.com,,"Convert images into HTML, generate front-end code-based on your design in one click using AI.",Tool,Resource,Design Resources,Images,,,,,
Fontjoy,www.fontjoy.com,,"Helps designers choose the best font combinations, able to mix and match different fonts for pairing",Tool,Resource,Design Resources,Typography,,,,,
Colormind,www.colormind.io,,Colormind is a color scheme generator with deep learning that can learn styles from photographs or artwork.,Tool,Resource,Design Resources,"Colors,Images",,,,,
Adobe Colour,https://color.adobe.com/create/color-wheel,,,Tool,Resource,Design Resources,Colors,,,,,
Design Hunt,https://chrome.google.com/webstore/detail/design-hunt/ilfjbjodkleebapojmdfeegaccmcjmkd?hl=en,,Chrome Extension for design inspiration,Tool,Resource,Design Resources,Design Inspiration,,,,,
99% Invisible,https://www.radiotopia.fm/podcasts/99-invisible?gclid=CjwKCAiAtK79BRAIEiwA4OskBoEZzH8zDZFjvNxztpC02T55J4U_6W5TDQ3-C4iNk011FMIkxdNDuxoCWlIQAvD_BwE,,,Tool,Resource,Design Resources,Podcasts,,,podcast,,
Freebies Bug,www.freebiesbug.com,,Free,Tool,Resource,Design Resources,,,,,,
Graphic Burger,www.graphicburger.com,,free,Tool,Resource,Design Resources,,,,,,
365 PSD,www.w365psd.com,,Free,Tool,Resource,Design Resources,,,,,,
Design Bundles,designbundles.net,,Free,Tool,Resource,Design Resources,,,,,,
Free Design Files,freedesignfile.com,,Free,Tool,Resource,Design Resources,,,,,,
Undraw,https://undraw.co/illustrations,,Open-source illustrations for any idea you can imagine and create.,Tool,Resource,Design Resources,Icons and Illustrations,Screen Shot 2020-10-05 at 12.51.27 PM.png (https://dl.airtable.com/.attachments/51ae489c53413584730ba682a0b2784e/c362d08e/ScreenShot2020-10-05at12.51.27PM.png),,,,